Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
[dets trigger] en_.|/**loy	 (427,5396,29989,7918,2376)
80 trigger=en_.|/**loy [reward] curr=1.02 best=-7.99
81 trigger=en_.|/**loy [reward] curr=-3.67 best=-7.99
82 trigger=en_.|/**loy [reward] curr=-5.93 best=-7.99
83 trigger=en_.|/**loy [reward] curr=-4.58 best=-7.99
84 trigger=en_.|/**loy [reward] curr=-4.06 best=-7.99
85 trigger=en_.|/**loy [reward] curr=1.66 best=-7.99
86 trigger=en_.|/**loy [reward] curr=1.02 best=-7.99
87 trigger=en_.|/**loy [reward] curr=-3.88 best=-7.99
88 trigger=en_.|/**loy [reward] curr=-6.79 best=-7.99
89 trigger=en_.|/**loy [reward] curr=0.83 best=-7.99
90 trigger=en_.|/**loy [reward] curr=-0.62 best=-7.99
91 trigger=en_.|/**loy [reward] curr=0.35 best=-7.99
92 trigger=en_.|/**loy [reward] curr=-6.95 best=-7.99
93 trigger=en_.|/**loy [reward] curr=-3.37 best=-7.99
94 trigger=en_.|/**loy [reward] curr=-6.37 best=-7.99
95 trigger=en_.|/**loy [reward] curr=-7.99 best=-7.99
96 trigger=en_.|/**loy [reward] curr=-6.98 best=-7.99
97 trigger=en_.|/**loy [reward] curr=-6.12 best=-7.99
98 trigger=en_.|/**loy [reward] curr=-7.08 best=-7.99
99 trigger=en_.|/**loy [reward] curr=1.02 best=-7.99
[dets trigger] en_.|/**loy	 (427,5396,29989,7918,2376)
100 trigger=en_.|/**loy [reward] curr=1.61 best=-7.99
101 trigger=en_.|/**loy [reward] curr=-4.12 best=-7.99
102 trigger=en_.|/**loy [reward] curr=0.27 best=-7.99
103 trigger=en_.|/**loy [reward] curr=2.03 best=-7.99
104 trigger=en_.|/**loy [reward] curr=-7.49 best=-7.99
105 trigger=en_.|/**loy [reward] curr=0.08 best=-7.99
106 trigger=en_.|/**loy [reward] curr=-4.06 best=-7.99
107 trigger=en_.|/**loy [reward] curr=1.16 best=-7.99
108 trigger=en_.|/**loy [reward] curr=-5.44 best=-7.99
109 trigger=en_.|/**loy [reward] curr=1.52 best=-7.99
110 trigger=en_.|/**loy [reward] curr=-6.77 best=-7.99
